text,label
SQL injection attempt blocked on endpoint /notif-worker,SECURITY_ALERT
Unusual data exfiltration pattern detected from search-svc,SECURITY_ALERT
"Service checkout crashed - out of memory, restarting pod",CRITICAL
Unhandled exception in payments-api: TimeoutError,ERROR
Connection pool for user-db nearing max capacity,WARNING
Full disk outage on user-db - service unavailable,CRITICAL
Cache warmed up successfully in 2544ms,INFO
Payment processing failed for order #889 - gateway timeout,ERROR
Connection pool for checkout nearing max capacity,WARNING
SQL injection attempt blocked on endpoint /payments-api,SECURITY_ALERT
Scheduled backup completed for database search-svc,INFO
"Service auth-service crashed - out of memory, restarting pod",CRITICAL
Failed to send email to sneha - SMTP connection refused,ERROR
Unusual data exfiltration pattern detected from user-db,SECURITY_ALERT
Payment processing failed for order #932 - gateway timeout,ERROR
Kubernetes node auth-service not responding - all pods evicted,CRITICAL
Possible brute-force attack detected on login endpoint from 192.168.88.72,SECURITY_ALERT
Retry attempt 482 for job user-db after transient failure,WARNING
Fatal error: search-svc process terminated unexpectedly,CRITICAL
Disk usage on checkout reached 78% capacity,WARNING
Request to notif-worker failed with status 500,ERROR
Unusual data exfiltration pattern detected from user-db,SECURITY_ALERT
Kubernetes node user-db not responding - all pods evicted,CRITICAL
Kubernetes node payments-api not responding - all pods evicted,CRITICAL
Suspicious API key usage pattern detected for key ending 935,SECURITY_ALERT
New user anjali registered successfully,INFO
Cache warmed up successfully in 4444ms,INFO
User vikram logged in successfully from 192.168.71.63,INFO
Payment gateway completely unresponsive for 5 minutes,CRITICAL
Fatal error: user-db process terminated unexpectedly,CRITICAL
Suspicious API key usage pattern detected for key ending 193,SECURITY_ALERT
Unhandled exception in checkout: TimeoutError,ERROR
Deployment of user-db v4.0.4 completed successfully,INFO
Retry attempt 580 for job search-svc after transient failure,WARNING
New user sneha registered successfully,INFO
SQL injection attempt blocked on endpoint /search-svc,SECURITY_ALERT
User amit logged in successfully from 192.168.7.144,INFO
Payment processing failed for order #16 - gateway timeout,ERROR
Connection pool for auth-service nearing max capacity,WARNING
Health check passed for service checkout,INFO
Job notif-worker failed after 441 minutes with exit code 1,ERROR
Retry attempt 773 for job notif-worker after transient failure,WARNING
Unhandled exception in user-db: TimeoutError,ERROR
Cache warmed up successfully in 4632ms,INFO
Retry attempt 197 for job notif-worker after transient failure,WARNING
Deprecated endpoint /user-db/v1 called by client 192.168.174.190,WARNING
Health check passed for service payments-api,INFO
Disk usage on checkout reached 78% capacity,WARNING
Possible brute-force attack detected on login endpoint from 192.168.87.27,SECURITY_ALERT
Suspicious API key usage pattern detected for key ending 514,SECURITY_ALERT
New user sneha registered successfully,INFO
Connection pool for auth-service nearing max capacity,WARNING
NullPointerException in module checkout at line 816,ERROR
Unusual data exfiltration pattern detected from checkout,SECURITY_ALERT
Job checkout failed after 243 minutes with exit code 1,ERROR
Suspicious API key usage pattern detected for key ending 937,SECURITY_ALERT
Job search-svc failed after 466 minutes with exit code 1,ERROR
Deployment of checkout v5.3.4 completed successfully,INFO
Payment gateway completely unresponsive for 5 minutes,CRITICAL
Disk usage on payments-api reached 78% capacity,WARNING
Deprecated endpoint /checkout/v1 called by client 192.168.151.72,WARNING
Kubernetes node auth-service not responding - all pods evicted,CRITICAL
Failed to connect to database payments-api after 94 retries,ERROR
Health check passed for service payments-api,INFO
Possible brute-force attack detected on login endpoint from 192.168.151.72,SECURITY_ALERT
Rate limit approaching for API key ending in 106,WARNING
Possible brute-force attack detected on login endpoint from 192.168.51.184,SECURITY_ALERT
Suspicious API key usage pattern detected for key ending 670,SECURITY_ALERT
Payment gateway completely unresponsive for 5 minutes,CRITICAL
Unhandled exception in checkout: TimeoutError,ERROR
NullPointerException in module user-db at line 514,ERROR
Kubernetes node search-svc not responding - all pods evicted,CRITICAL
Payment processing failed for order #821 - gateway timeout,ERROR
